peptide_sequence_id	uniprot_id
27427	Q14571
59500	Q9NUB1
32014	Q9NS56
23636	A7E2Y1
52836	Q9HCC0
29732	P30492
31066	Q7L576
7078	Q8TDW0
20376	Q8N1F7
21820	Q9H7X2
28493	Q86X10
756	Q96EZ8
25134	Q8IXQ6
27972	Q9H4M9
54241	Q6EMK4
43517	Q13769
6545	P15924
48613	P54652
10775	Q68DU8
22275	Q8TDP1
61472	P40925
49504	Q9HB40
875	Q92696
5382	P05108
56628	Q5VTE0
56865	P01893
61432	P15144
51873	P00450
16619	Q6PKG0
38869	Q16695
7703	P20591
14676	P78537
47719	Q12874
59540	P37108
51416	P68871
38919	Q5JSP0
12770	P48960
6372	P09669
2321	Q07954
48254	P35659
13143	P14625
52976	P30501
9637	P62324
53566	O43598
22516	O75151
30657	Q6UWM7
1592	P27348
58181	P08571
53277	P01833
61771	P50991
29228	O75592
49306	O75351
26979	Q99879
5089	Q8WYB5
6587	Q03167
63978	P98164
45796	P25398
13648	P13533
26981	O75165
3035	P07327
48888	P15941
25221	Q01518
51176	P14324
12771	Q96RU3
48855	A0A0C4DH42
42811	Q16829
27834	O75907
56071	Q6UXG8
50830	P68104
8720	Q8NAA4
61926	Q00610
60283	Q86X76
19589	P0CG39
56072	P05141
11264	P55268
63591	Q13214
3867	P35916
12579	Q8NDT2
20774	B2RPK0
16351	P11940
50403	P18621
48292	Q9Y5W9
14462	Q9NRG9
7013	A6NCL7
57097	Q7Z407
58670	Q9Y5G4
23059	O75131
41990	Q9ULS5
14393	Q9UQ35
2738	Q9BQE3
62560	P07711
25836	Q6P9A2
50614	O43927
21487	P04433
32026	Q8TF65
46237	P10398
59433	O43915
49300	Q96QK1
41387	Q7Z3J3
42768	P05106
22288	Q00597
15442	O95379
5810	P14625
12715	P32119
50702	Q93077
59095	P23141
62896	P0DN79
38267	Q5TGY3
22589	Q13535
4287	P63267
44847	P02679
36962	Q8TCU4
23456	Q9BRT8
28689	Q99518
31875	Q9H2L4
12260	Q9P2E9
39876	Q9UBZ4
44338	P35222
44296	P05093
15804	Q8NDV7
14834	Q6UX53
9586	P57088
51839	P04432
6028	O94979
57780	P09871
44054	Q07021
18323	O15061
58505	P68032
58557	Q6NUK1
59020	O94813
26193	P36222
8825	Q5T2T1
44153	Q14683
39213	P00488
63550	P30462
50891	P02746
32568	O15031
53669	P12821
41612	Q9H6L5
27260	O75716
13581	Q8WYP3
6570	P25929
20660	Q6UUV9
15763	Q8IWI9
12948	P30490
22039	P34810
16169	P16066
27678	P02766
54008	Q9NRZ7
56991	Q31612
46981	Q6WCQ1
15513	P24522
24470	P17931
13898	P35579
37082	P30485
35053	P62736
28189	P49754
50115	Q96IX5
61532	Q13509
50895	P30495
2872	Q14207
35677	Q69YN4
5352	P68032
34531	Q68CZ2
7670	Q86U86
51163	Q14108
22842	P60709
21974	Q6ICG6
15982	Q8IZP2
47946	Q9H4G0
33875	O95319
37645	Q14643
60068	P00488
30594	Q9Y3L5
44024	Q9H583
29577	Q99873
15635	Q9UG56
60406	P49327
35126	Q9BZ29
58719	Q03154
51408	P35968
30924	O43236
29014	P01889
6008	P51159
29774	O14950
46694	Q9NX46
53654	Q99879
50700	P20671
10215	Q9H6E4
53507	P46781
45642	P61962
11639	P29972
23423	P55060
55665	P20671
21964	P01871
62248	Q93079
57125	P62736
12094	P35222
15331	Q96NW4
33067	O75923
26428	O15438
28705	Q9UEW3
27546	P38435
16272	P40616
60634	Q15485
2999	P17693
24148	Q9Y6K1
27171	P30464
6411	A6NNZ2
48260	Q96T58
10439	Q7RTV2
5203	P08686
51605	P13716
54982	P78371
48582	A6NMY6
25071	P13612
15760	P68032
40403	P49748
20741	P60709
35016	Q15149
62771	Q92187
62823	Q9BQE3
36436	Q6NTF9
9953	Q15149
3379	O75400
39774	P20592
34789	P0CG39
8822	Q8TDD1
16133	Q969N2
33826	P04350
14164	P68133
39368	Q96Q07
2818	P04222
23947	Q92878
50038	Q15582
46950	Q96Q15
19540	P06899
37219	A6NMY6
32615	Q9H3U1
2208	P63261
8508	A8MTY0
61538	P07355
3208	Q14204
34048	Q99877
9629	Q9H4L7
39160	Q16654
31488	Q9UM01
8832	Q9UHB9
52363	Q99878
24838	O15260
16049	O00238
61084	P01859
14522	Q15165
50895	P30480
24886	Q9NQ25
29657	P17040
41786	P69892
8508	A6NP11
29903	Q13315
302	Q8WVM7
19141	P00488
51683	P04114
17592	Q13748
18356	Q92616
45806	Q9NZD8
29014	P30480
1850	O95810
55511	P13796
31900	P30491
4807	Q9BWV1
853	Q14678
9579	P14174
42647	P0CG38
39787	Q9BRR9
8821	O95251
54050	P17655
63168	Q9UPU3
11023	Q92793
3664	P07327
14102	Q9NZJ7
61343	Q92608
21259	Q9UJY1
43325	P04844
45793	Q96PP8
222	P13196
2444	Q14204
41991	P37023
61551	P10451
48110	Q96FX8
59263	P62753
34101	Q5T2T1
4436	Q9Y2D2
1515	P46439
14192	O95373
7215	Q9BRL6
3732	P02655
62786	P46781
9671	A0AVT1
43509	Q8WUM0
26440	Q13263
92	P18206
2232	P30491
35683	Q6PIS1
12948	P10319
2121	Q9Y6D5
8188	Q96C86
43052	P04844
49076	P15311
13928	P0CG39
36112	Q86WI1
22152	Q96RF0
14228	Q9P0P0
25466	O95864
29025	P57076
62750	P00450
37937	Q9HCK8
22892	O96006
62695	P00367
62412	Q99714
37082	P01892
21982	Q7KYR7
29421	Q8N122
14989	P23229
52549	P13667
14189	Q8TEY7
55305	P46439
51131	Q9H2U2
64127	Q6UXG2
19348	Q10586
62689	P02786
3054	P12111
13649	Q96G27
2933	P62736
9778	P17066
62770	Q29974
86	Q13492
3586	P16190
52482	Q9UIJ7
45051	Q8TE82
55630	Q07325
7067	Q96RT1
30449	Q5UIP0
14667	Q8TED9
54897	P06733
53823	Q15582
4675	P01266
24654	Q96GQ7
4212	Q13363
37407	P25106
43891	Q8WZ60
32867	Q96ST3
32262	Q9UPU5
3484	O43719
23205	P15924
12995	Q96DB2
57371	P30459
44973	P20815
48986	P30456
46931	Q6DKJ4
51899	P02679
9682	P57678
11188	P09237
14027	P23458
52656	Q96QV6
6081	P04150
24082	Q8N257
733	Q9BZK7
16723	Q9HBR0
42745	Q13509
64135	P00751
33050	O14545
51444	Q2M3G0
52273	Q06830
8959	Q9H977
3529	O60814
45199	Q92620
44765	Q96JL9
41455	P52565
33656	P18505
41387	A6NKT7
35386	P78381
55219	Q99519
501	P63261
53408	P02452
23105	Q9NZC4
12998	Q9HB58
20950	Q9HCE6
1968	P48200
49645	P04114
40499	Q9UKV3
45111	P02751
29383	P62888
57530	P19397
40330	P63313
56470	P00738
56397	Q96QV6
907	Q9UHA2
5523	Q99613
63955	P16403
31703	P17480
24366	P56381
52652	P00751
59164	Q9UIQ6
41662	Q08257
28151	P20591
1994	P04433
34317	Q6N021
12389	Q96J02
3524	P61586
35796	Q1EHB4
55589	P04040
61729	P00558
39188	Q13614
6252	P02746
15609	Q14008
38767	Q9BVV6
46401	Q9H2C2
16045	Q9BYZ6
17058	Q5QNW6
63433	P35579
2269	Q9H992
2264	Q31610
12204	Q92503
4455	P09972
5855	P58876
24268	Q96J42
59341	Q8NHJ6
62577	Q16555
16326	Q13191
23056	Q14210
2287	Q96C10
4543	P0DMV9
38696	Q12791
27428	O95453
61452	Q14697
41680	Q2M389
49876	P17936
39221	P30464
30407	P19099
58292	P16671
36345	O14920
55265	P54727
35917	O15258
55088	P42892
18092	P39880
3378	Q96ST3
34391	O00170
41261	P18206
56515	P14543
61054	A5A3E0
42032	P42224
57274	Q6S8J3
40653	Q92900
63802	P62805
149	Q6EKJ0
53279	P34810
54702	P05023
7752	Q04637
4500	Q9NPJ6
43153	Q96KR1
52218	P02748
8219	P09382
27548	Q13459
56720	P05155
50720	P29622
4946	P05496
32366	Q8TCT9
11997	P06703
49684	Q9HBW9
16202	O75164
22833	Q13310
16076	Q9UBQ0
58583	Q9NR71
35358	Q6TFL4
24824	P13010
25191	P10319
40375	Q9NZC4
40525	Q06210
10328	P30455
46853	P52597
48403	P30453
48288	Q2M2Z5
39045	P35580
16574	Q9HC35
47472	Q6W2J9
54815	Q96KP4
31017	P02751
7984	O14980
42522	O95067
58185	P10619
41452	P35558
23747	P04839
24899	P68133
53753	P00846
35211	P12035
53874	Q05707
36221	Q9H479
20915	Q96JG6
26021	Q05639
45174	Q15691
17423	Q13751
57354	Q04826
20551	Q14C86
31650	O14594
6376	P68032
50879	Q9UJ70
27484	Q15014
48980	P10316
20912	Q9BVA1
23052	P63010
15035	Q6ZT12
19729	O14836
3987	Q9H4H8
10328	P04439
54567	P02730
11129	P18583
53799	P12429
59837	P68431
34324	Q14181
17568	P07333
24644	Q8TBP0
60680	P11586
29628	Q99877
24106	P63261
43488	Q13753
43950	P02042
18951	P27694
45876	Q8NE01
31783	Q6PJG2
11148	Q9Y4A5
8508	Q8NF99
42656	P68032
31573	Q9BTM1
49159	Q99798
15260	P50990
21298	O94886
11631	Q6ZNJ1
55552	O00178
15321	P36897
51933	P55899
28367	Q9UM21
41444	Q8WX92
11181	Q96RT1
22002	P42695
2305	P0DP25
11286	Q00796
6396	P05141
26223	Q29718
13736	Q8IYB7
42779	P04839
20406	P16234
17583	P68366
5835	O95298
41080	Q86Y82
52124	O75131
9046	P13929
26966	Q7L523
48324	P27361
8508	Q9H7R0
51367	P17936
54891	P16870
21188	P49773
47654	P08319
12541	Q8IVF2
39215	P21333
31373	P19105
23276	P0DJD1
8172	P35579
13378	P0DJJ0
13527	Q9BQ24
2553	Q9H9C1
9385	P0C0L4
33241	P08603
34047	Q15758
40973	Q8WUB8
44912	Q7L576
24082	Q6DRA6
59670	P19835
58600	Q13748
49543	O43556
7598	O60304
46572	Q14232
61645	P22314
16906	P53992
29202	P78527
4169	Q6DRA6
61433	Q86WA9
32129	P30492
24977	Q7L576
30110	Q9BVA1
25873	Q01201
18061	Q86UX2
63307	P31689
15274	Q9BV40
31352	Q5THK1
26380	Q9P270
10079	P68371
12026	O43679
45686	Q00013
7491	Q7Z333
33724	P14635
37029	Q13835
47608	Q9P287
40577	Q93074
18863	O43264
29243	Q9P2K5
9167	P98160
7598	P0CG24
5847	Q5BKZ1
62025	P60709
59442	O60826
25100	Q16666
27386	Q7Z2X4
32845	Q07864
8508	O75820
46171	O60229
44427	O43303
24175	Q5JVG8
43165	Q13118
46374	Q99996
13590	Q9P2E9
35590	Q15262
10159	P62136
9825	P30508
41387	Q99666
5568	O75874
23898	Q12789
37868	Q9BUI4
33569	P03973
46885	P28289
53796	P17655
30289	P46939
45203	P08729
1074	Q12923
24828	P18859
27425	Q13813
29376	P09429
23674	Q86YD1
40476	Q6ZMV8
27523	Q93074
59715	P32004
9985	P25686
49544	P08686
62907	P29322
397	P30490
46880	P30455
43794	O95340
15698	P54105
35740	P40426
29616	Q16394
58727	P07237
39630	Q96A65
53269	Q16698
27706	Q5JSZ5
12311	P63267
28942	Q9UMS6
35225	O00567
5874	Q15059
43077	P0DJI9
62285	Q8TDL5
8448	Q99612
6975	Q9Y4A5
49095	P26038
19799	O75146
3556	Q92556
9378	P09914
16730	O00139
27795	Q86YS6
21640	Q9Y2L1
61504	P07737
26979	Q6DRA6
25228	P43304
46451	Q9NQ31
53306	P07099
17677	Q5VU43
22161	Q8IZF4
4974	Q92804
18916	Q69YQ0
14523	Q5XKP0
2707	Q95365
48824	P01009
50785	P13796
49934	P16104
58340	P06576
15176	O14880
38276	Q13395
45155	Q8NEK5
7052	P04908
41763	P69892
51810	P15538
16845	Q14527
24076	P01772
24131	P24158
59082	P21926
34078	Q96GC9
6616	P67809
40017	Q9ULG6
7332	Q92560
42169	Q8IZF2
3200	Q9H3R0
56865	P16190
44762	P30450
6379	P08779
49121	P17936
26039	Q9Y6E2
6485	P12882
44762	P18464
23213	P20929
49804	P27824
12815	Q9UJ83
27534	P10153
7592	Q8WU79
22399	O43847
20451	Q96B21
38095	Q96AC1
10220	P01906
35666	Q16891
43266	Q9NTJ4
6929	Q9GZR7
55657	P0CG29
41194	O43181
61951	P01009
25728	P49419
50043	Q6FI13
17283	P01624
8508	Q8TF20
31365	P68032
1770	Q96EN9
6460	Q13635
43552	Q6ZS17
56383	Q9Y5Z4
61252	P20062
53891	P02768
57525	P01893
5176	Q13315
37543	Q12768
17532	Q9BZC1
21395	Q6NY19
43381	P49406
5369	P49790
28123	Q9UG63
57637	O95372
9208	Q8N9N2
25609	Q9NYQ3
47745	P42025
49708	P15538
53288	P22897
59630	Q9UGT4
26979	Q8N257
43358	O75897
40826	Q96KK5
39769	P13674
8845	Q9ULJ6
34117	P19320
49323	P04040
53633	P10412
54576	O15394
40257	P21333
23129	P01023
7979	Q6ZN19
21322	Q6WRI0
55399	Q9Y6M9
29657	P52742
19947	Q13439
40203	Q6ZNJ1
43553	P17858
51945	P00451
16307	Q9H6H4
15256	Q504T8
39698	O15121
19557	Q8IUE6
18595	Q6YHU6
60912	Q92544
5084	P0DMV8
54200	P19021
2921	O15042
10379	P68366
34789	Q9BYX7
35044	A0A0A6YYG3
55890	O15031
26579	Q9NZL6
44081	Q15327
16829	Q8NF50
53121	P06733
27038	O75113
16738	Q9BV38
59403	Q15582
61060	Q562R1
63497	P49327
46726	Q6NSJ2
2614	Q01082
33049	Q9NVC6
31010	Q9H7F0
45730	Q49AJ0
13579	P98082
2666	O60870
10260	P10643
41621	Q96AX1
35380	P29992
52465	Q9HBW9
52988	P33151
11834	Q9NWW7
46266	Q7Z403
339	Q04637
39745	P24844
61003	Q9GZX9
41736	Q0VF96
4186	P61158
56649	P40925
58816	P06396
50078	Q99829
10472	Q96I24
16148	P53621
8047	P63261
43750	Q96TA1
60971	P54652
21091	P11712
48377	Q9Y6M1
58994	A0A0B4J1V6
34921	Q2TAA5
28293	Q96HR8
6034	Q8N6G2
24339	Q9HBI6
51183	P0CG38
58002	P01031
3541	Q6PD62
15078	Q15942
62727	O14672
5106	P35443
39504	Q03001
23212	Q9UPY3
8155	P05106
59721	P39019
57043	P63261
21819	P56199
58302	Q02539
54789	O00391
51237	P31040
17100	O95999
60775	O00754
62072	P22897
29782	Q9H6Y2
23760	Q92835
224	Q07960
59175	P61421
39314	B2RXH8
11928	Q13085
5341	P46940
10949	O75376
55965	Q16777
62530	O60234
12569	P04234
28402	Q969T9
62454	O75197
37536	Q9UPN9
39126	P04440
21741	Q9UPN3
11271	Q5VTE0
62006	P26640
3026	Q15434
10558	Q9UGL1
58580	P78556
47610	P55259
25548	Q16775
16002	P15924
22779	Q9GZS3
2607	Q96KK5
39348	P01912
3452	P30685
30136	Q00610
24041	Q96JM7
58374	Q9Y281
4528	P27348
3515	O60333
52113	Q13085
46538	Q9BQ04
36691	Q08AF3
8508	Q6P2D0
53905	P16671
53118	P23634
2165	P43307
35833	Q695T7
47433	P68431
47373	Q9H173
41956	A6NIZ1
54724	P11215
60126	P40925
46426	Q9HCM1
57396	P04114
63194	Q14515
47967	O75369
32731	Q9NYV4
8508	Q9Y5A6
1209	Q9H3S7
38328	O15294
61861	P35625
60896	P17066
36606	P25054
18138	Q9H8M2
34289	Q9Y4C1
2375	P27986
61021	P63261
62299	P42766
6422	Q02413
34778	Q01844
6087	Q9NZL6
5776	Q99715
10738	Q00610
35361	P78527
40496	Q15131
43400	Q9H461
16947	Q86U06
22592	P01871
16777	Q96E39
63170	Q07954
52729	P10620
42236	O00410
52662	O14880
6104	Q96J88
58123	P07355
54788	P16401
13663	P28072
23480	P42226
353	Q9BZW5
8143	Q96Q15
56187	Q8N1I0
19876	P62195
38583	Q9Y6C2
573	Q15800
41381	Q13098
35267	O14494
22427	Q07820
43454	P35625
40476	Q6ZN08
27387	O15539
44688	P24821
8314	P10314
26453	Q96DT0
25398	Q01518
25338	P00488
25884	P40763
20308	Q15052
11551	Q9H0M0
2103	Q9H6J7
1180	P05141
38024	Q66K74
45151	Q8NG48
25091	Q96PC3
50416	P04114
43587	Q5TGZ0
1787	Q9Y2J2
41717	Q8TCC7
63874	Q9H479
3857	Q14444
51565	P05093
47532	Q9BWF3
52782	P10620
60100	P02787
33502	P04259
12873	Q9Y5J1
23403	O00204
44034	Q13200
20608	P02647
1553	Q9BVA1
57424	P18462
10333	Q460N5
61404	P25705
48730	P30046
35142	P62266
30702	O43310
40193	P17181
11133	Q96IZ0
28477	A6NNZ2
30529	P16152
22614	P78527
19713	Q8WWA0
48429	A0A0C4DH32
12866	Q8N1F8
19378	Q9UJK0
49012	Q93077
23084	Q9P265
39269	P53708
48498	A6NMY6
45271	Q13813
9481	Q9Y4C2
9497	O60613
50269	P05109
21833	Q15327
3720	Q15723
8280	Q86TU7
2146	O60508
43392	Q99622
510	O14495
23934	Q9UL46
27542	Q6P2Q9
29657	O75437
45532	Q09666
63448	P13726
60293	Q9H6B4
4774	Q7Z5N4
14493	Q9H999
15640	P34896
39167	Q12929
34272	Q9H422
124	O15525
38866	Q15637
37791	Q9BYB0
8230	P60842
455	Q9UNF1
58924	Q03154
59196	P14923
60484	P68371
8390	Q9Y4G8
51356	P35268
407	P51911
23233	Q9UKX3
56721	P07339
61459	P54819
18185	P61764
18120	Q14643
63564	P62826
45224	Q9BY50
49098	Q14112
36408	O95219
50251	Q9NZT1
47461	Q86VI3
20865	Q13347
60741	Q562R1
35949	P36980
21211	Q86XP6
5551	Q99715
2829	Q9H4I3
19131	O60240
62611	Q29960
53655	Q99879
50776	P04908
7256	Q99719
28747	P0C866
2718	Q8NB37
44390	P10909
60942	O43405
7731	P08238
50287	P28906
33210	Q8IVL0
57709	P02750
38181	Q9UK73
18478	Q9H2I8
43885	Q86WV6
57380	Q5VTE0
17175	A6NHL2
32234	Q12830
3795	Q9BVA1
8562	Q86UE8
35289	Q02447
51942	P23381
24103	Q9H211
45149	P24385
60421	P20742
64189	Q8N283
344	Q9Y6E2
51863	P19827
50284	Q14956
35950	Q12866
50895	P30462
26324	O75940
18798	P49588
37180	P17542
61431	P35579
21247	O75420
1221	Q96Q89
31757	Q9Y613
25118	Q6UWM9
2976	P04798
31365	P63261
28993	Q9H6S0
25069	O75179
58315	P51148
43912	P20336
23500	Q13813
43604	O00141
57336	Q15811
56362	P09603
47906	P04440
54552	P16402
59830	Q15582
2131	Q6IQ26
23462	P0CG39
39120	O94776
20935	O14950
8403	P06744
2214	P68133
3960	Q7RTV2
42616	P68366
2888	Q13642
5422	P05107
56305	Q14517
6941	P02774
8885	Q9BRB3
18496	O00622
13641	P40939
51655	P01031
20980	P63146
55272	Q6UXG8
55629	O00585
16925	P27169
23380	P82094
21232	P33778
44572	Q96P11
3942	P51798
7598	Q14586
46880	Q95604
18084	Q96QK1
6603	Q9UFW8
45037	P15311
7598	P17039
54209	P09669
294	P02100
35458	Q14392
54024	P78371
18498	Q9Y2V2
44989	Q96BY6
6369	P24539
36127	Q9Y2V2
33704	P26006
2510	O95167
7553	Q5BJF2
17360	Q68CZ2
10168	P26439
44791	Q9UNQ0
47782	Q8IZ21
30371	Q96EE3
54601	Q96IX5
56991	P30508
13498	Q12906
53654	P23527
38879	Q9UKK3
1059	Q96QB1
47750	Q86UP2
53655	O60814
60424	P02751
24218	Q9NY93
41877	Q02818
9825	P10316
61138	P62899
60843	P20036
31900	P18465
52077	P00451
36562	Q96IK0
44238	O60504
55883	P02746
10464	P16930
41694	P31040
44754	Q7Z4V5
22729	Q8NHH9
2818	P17693
3045	Q16589
40645	Q9GIY3
1480	Q29718
32893	P18583
19763	Q93052
39184	P13747
1534	Q13491
9665	Q16853
1117	Q9H7X2
8257	Q86U86
13591	Q9NV58
34498	Q16665
30868	Q96SN8
25492	P08123
32019	Q13591
37246	Q6Y7W6
40414	Q9BVJ6
44345	Q5VU43
25795	Q6ZNL6
23891	P01912
47262	Q05940
37604	Q9UPN3
33344	P0CG47
32724	P10809
18299	Q9HC58
37726	Q9NYV4
60965	P06733
11918	Q9UHG3
7545	P30447
51943	P42892
8359	Q13608
23394	Q9NXE4
47319	Q99996
37792	O43474
40045	Q9P2J5
47241	Q9BXS9
19813	Q9NZJ9
57371	P04439
10485	P04844
51532	O60664
3817	P62491
17675	O75094
46216	P30486
49903	P35221
2314	Q95365
20097	P61165
47360	Q96AD5
52993	P16188
42437	Q14157
44136	P07384
43229	Q9C0D3
42181	O43707
30097	P21589
34619	Q14152
6164	Q13129
55614	P32248
25824	Q9HCJ3
20780	A8MPS7
7800	Q16589
52308	P05109
39836	P14866
54197	P60660
2079	P10586
8357	P19532
25855	Q9UHQ9
24140	Q8N587
16858	Q96PC5
46902	Q96D15
62317	Q29940
43763	Q96JY6
33453	Q13131
3615	Q9UGH3
15155	Q8IYU8
61152	P03952
44147	P15036
29156	Q8N163
32207	Q9UFW8
61030	P35580
38164	O95071
45712	Q12882
44931	O76064
28696	Q99081
16071	P54274
47572	P40692
50253	Q8TAB3
17359	Q9C0A6
58133	P35610
62608	P14923
18074	Q7L9B9
40490	Q8IWT6
22024	P11836
8508	O75437
6847	Q9NRM7
42613	O15027
37082	P30484
9351	P04406
59110	P04233
14829	P13010
48783	P60709
2974	P01871
58771	Q15582
38338	Q6UWJ1
9764	Q9NP74
40383	O15145
10432	P18428
6220	Q16513
23588	P68032
13244	Q8WYK2
46708	Q6IN85
45268	Q96PP9
47303	Q1KMD3
27839	Q92800
64073	P12236
11856	Q8TDX7
24200	Q14204
18681	Q9Y6D5
34041	Q8N1G1
8508	P17028
20967	P09601
52857	P41567
44862	O94804
28037	Q5SSJ5
46197	O14980
20060	Q9UP83
16121	P14406
54879	P58400
40232	O00571
32243	A6NKT7
48683	Q9Y5Z0
8476	Q02539
8201	Q96Q05
8518	P46939
44830	Q149N8
54760	P16671
27053	P00390
2525	P17947
58875	O00468
7239	Q5JSL3
7807	P62191
57525	P30443
40522	Q15080
52501	P23527
2299	P63261
20913	P13861
45192	Q9Y2D9
52361	Q14118
31959	Q8WXH0
26410	A0A075B6K5
22907	O75410
26571	Q96G75
41274	Q00839
43840	O43426
12906	P06865
37049	Q9UHB7
62548	Q16363
8508	Q96N38
52659	P16234
22881	Q9Y5X1
29063	P18621
10273	Q15717
7110	P19174
62365	P27348
14735	Q14451
8270	P84085
59856	Q71DI3
36443	O95340
14278	P48735
31070	P36873
11669	P11586
3734	Q96I99
37409	P15291
16086	Q14586
30518	P55209
16620	P24462
61114	P62316
10798	Q9GZP9
18108	Q4V9L6
9991	P48556
35727	P50851
5731	Q93050
59749	P62424
49297	P02751
17467	Q71U36
40554	Q58FG1
6588	Q8N7K0
4792	O95070
56972	P23470
37367	Q9NQA3
47903	O95199
28749	Q99518
12612	Q86Y56
5592	O00562
11699	Q86WA8
568	P17480
35603	Q96S66
24267	Q6FI13
40554	P08238
46906	Q9UKA4
34451	Q96QK1
35750	Q14204
26449	Q8IZD2
19941	Q15596
37127	P46100
21045	Q9NPH0
20609	Q8IVL6
46880	P04439
32582	P07900
27437	P20929
41416	Q9UID3
12911	Q9BZ68
11085	Q9H3U1
40054	Q9NZM5
42170	Q9H3M7
63638	P05121
394	P06400
53349	P00488
35770	Q01484
12302	Q9HBG6
48486	P69905
20741	P68133
52233	P04004
51693	P00736
5662	P78537
38883	P35580
53833	P17948
7116	Q5VST6
62360	P30508
2615	P10412
60782	O00754
46340	P47756
30776	O75764
2313	P16188
32310	Q8NFZ0
4389	Q02446
41862	Q8IUQ4
63552	P30495
47157	P14618
61465	P31943
56873	P61163
29014	Q04826
17319	Q92844
53125	Q92608
41505	P51531
54549	Q8IUE6
12858	Q6AWC2
18128	P30530
28390	P17980
24076	A0A0B4J1Y9
47682	P58107
43695	Q9BUJ2
5408	Q9UM19
30893	Q15057
24351	Q16880
2309	P12111
48693	P45880
62188	P41222
4526	O94925
52892	P0DOX7
8508	A8MT65
33307	P01266
56127	O75923
63827	P63267
34600	Q9Y6X2
52638	Q7RTV2
25115	P01601
13338	Q04206
20594	Q9Y2G9
59223	P98160
55730	P21980
50352	Q99715
28004	Q9HCF6
52150	P02042
37827	Q9H583
54511	O15031
10244	Q9NXR7
5546	P62736
43353	Q8IZF2
40032	Q9P2D3
28809	Q5R3I4
41141	Q8WZ42
29657	Q8N7Q3
53189	P01920
44152	P51692
5038	Q8NF64
3364	P61011
33891	Q9Y2G3
48682	A0A0B4J1V1
37762	Q13263
27617	Q96KA5
59407	O75473
53474	P04745
42456	P59666
23709	Q6ZMI0
7673	Q92835
34463	Q9UI10
14803	Q9P2D1
30077	Q9NZN4
45473	Q99612
9087	P47928
33533	Q969G5
34526	P23921
54135	P07339
31250	P05109
13251	O75955
7038	P25098
61655	P0CG04
46255	Q6P0Q8
18402	P11387
18338	Q8WXE0
20792	P57740
15073	P09210
39770	P23527
8508	Q9P0L1
12948	P30511
30551	P15311
10406	Q14005
52906	P07384
3889	P49792
61522	O14832
27955	Q92752
28491	Q9NR21
2886	O43795
35872	P51801
12350	Q6NZI2
29657	Q8IYN0
59877	P63261
32129	P16190
55067	A5A3E0
39153	Q99719
62214	P14625
56128	P08574
36275	P11216
21157	O43374
63480	P40939
7191	O00231
62366	P30505
38359	O60704
22630	Q9BXF6
24797	Q99879
18137	P50591
32899	Q9H3E2
39539	Q6ZT07
6571	P27694
12061	Q9NUN5
29645	O94855
40623	O43390
41848	P30459
14201	Q969X6
12170	P40763
26526	Q5T011
2169	P68363
53103	P98194
40661	Q562R1
27162	Q8N394
11291	Q92793
52089	P42766
40366	Q96R06
50845	P49588
3869	Q5SNT2
3139	P00326
7485	O00534
58848	P04746
42241	P40238
15152	Q8N960
24214	P61769
7782	Q8IVH8
8697	Q5TBA9
56255	Q5BJF2
53022	Q14108
29284	Q13200
26051	Q14011
50223	Q9H987
28873	P12882
60787	O15143
44415	Q13509
10	Q09160
43302	Q9UJ04
5001	P05108
60488	P01023
26360	P14868
1793	Q15084
4618	P01892
12475	Q93009
23945	Q9UPP2
17018	Q9Y5J7
4599	Q13185
48075	P10589
20208	Q7Z404
59915	P08575
32377	O00398
51302	P01903
55337	P20701
3614	Q2VIR3
3284	Q8N201
31707	O75448
26632	Q9HC35
20309	Q86V81
27126	Q7L591
43523	Q15155
21279	Q9H422
51160	P69905
40988	Q00610
45719	Q6ZSS7
4798	Q86VZ4
34658	Q9UMS5
36373	Q9UN72
29188	O60934
54821	Q08380
59739	P02768
3391	Q14247
6793	P15884
47602	Q07075
19879	P08559
7433	P43251
2214	Q9BYX7
48910	O14672
39123	Q0ZGT2
23520	Q7KZF4
48187	Q5VWP2
11177	P43243
18060	P29401
64143	Q14108
13295	Q9Y2G0
55067	P0CG39
18292	P10589
7598	O43361
37976	Q9Y2K2
13409	O75015
45107	Q9NZ63
45338	P09601
54327	Q02539
50461	Q9Y6R7
27609	Q8N5G2
5360	P35611
38256	Q96AC1
46772	Q8TDN6
16421	P03951
42351	Q9HAV7
30156	O00584
27795	Q92928
23743	P05164
64128	P00751
47349	Q8WUM4
11365	Q9BUP0
14696	Q8TEQ8
8983	P02042
60619	P13929
33969	Q9BQE5
18452	Q68BL8
37948	Q16851
28770	Q92736
30196	Q15124
59929	Q9UH62
62718	O14672
54935	P18428
28444	P51812
29158	P0DMV9
1342	P13639
26760	P09497
445	Q31612
31510	Q13415
53996	Q9UJW2
61676	P80404
18985	Q01196
22445	Q12772
58392	O75051
25011	P25789
7559	Q05940
57229	P50991
6614	P11586
50900	Q31612
21614	Q14004
12948	P18465
18558	O60493
23287	Q9NRD5
31026	P15088
54387	P51659
2465	P02647
53941	P02671
52217	Q5VST6
55660	P0CG29
48889	P01780
24811	O43299
2529	Q14995
31102	Q14966
51527	P10809
63689	Q6FI13
25854	O95140
30024	Q7Z3J3
32890	P49796
62997	Q9H0U4
25352	P02768
40745	P10586
30892	Q6EKJ0
55078	P62263
20875	Q8NDA2
30982	Q96JI7
48419	Q6P9H5
